step,split_counties,split_munis,P1s,P2s,Ds
0,64,284,0.05918121770268947,0.672051271304227,0.5542929292929293
1,64,281,0.05918121770268947,0.672051271304227,0.5542929292929293
2,64,281,0.05918121770268947,0.672051271304227,0.5542929292929293
3,64,280,0.05918121770268947,0.672051271304227,0.5542929292929293
4,64,280,0.05918121770268947,0.672051271304227,0.5542929292929293
5,64,280,0.05918121770268947,0.672051271304227,0.5542929292929293
6,63,280,0.05918121770268947,0.672051271304227,0.5542929292929293
7,63,275,0.06296909649056825,0.6615708385828931,0.5580808080808081
8,63,275,0.06296909649056825,0.6615708385828931,0.5580808080808081
9,63,274,0.06296909649056825,0.6615708385828931,0.5580808080808081
10,63,274,0.061706470227941956,0.6514698284818831,0.5568181818181818
11,63,272,0.061706470227941956,0.6514698284818831,0.5568181818181818
12,63,272,0.061706470227941956,0.6514698284818831,0.5568181818181818
13,63,272,0.061706470227941956,0.6514698284818831,0.5568181818181818
14,63,271,0.061706470227941956,0.6514698284818831,0.5568181818181818
15,63,270,0.061706470227941956,0.6514698284818831,0.5568181818181818
16,63,270,0.061706470227941956,0.6514698284818831,0.5568181818181818
17,63,269,0.061706470227941956,0.6514698284818831,0.5568181818181818
18,63,268,0.05918121770268947,0.6110657880778425,0.5542929292929293
19,63,268,0.05791859144006317,0.6009647779768323,0.553030303030303
20,63,268,0.05791859144006317,0.6009647779768323,0.553030303030303
21,62,266,0.05791859144006317,0.6009647779768323,0.553030303030303
22,62,266,0.05791859144006317,0.6009647779768323,0.553030303030303
23,62,263,0.05791859144006317,0.6009647779768323,0.553030303030303
24,62,262,0.05791859144006317,0.6009647779768323,0.553030303030303
25,62,261,0.05791859144006317,0.6009647779768323,0.553030303030303
26,62,259,0.05791859144006317,0.581142180395136,0.553030303030303
27,62,258,0.05791859144006317,0.581142180395136,0.553030303030303
28,62,258,0.05791859144006317,0.581142180395136,0.553030303030303
29,62,258,0.05791859144006317,0.581142180395136,0.553030303030303
30,62,256,0.05791859144006317,0.581142180395136,0.553030303030303
31,62,256,0.05791859144006317,0.581142180395136,0.553030303030303
32,62,256,0.05791859144006317,0.581142180395136,0.553030303030303
33,62,256,0.05791859144006317,0.581142180395136,0.553030303030303
34,62,252,0.05791859144006317,0.581142180395136,0.553030303030303
35,62,252,0.05791859144006317,0.581142180395136,0.553030303030303
36,62,251,0.05791859144006317,0.581142180395136,0.553030303030303
37,62,251,0.05791859144006317,0.581142180395136,0.553030303030303
38,62,249,0.05791859144006317,0.581142180395136,0.553030303030303
39,62,248,0.05918121770268947,0.5710411702941259,0.5542929292929293
40,62,248,0.05918121770268947,0.5710411702941259,0.5542929292929293
41,61,247,0.05918121770268947,0.5710411702941259,0.5542929292929293
42,61,247,0.05918121770268947,0.5710411702941259,0.5542929292929293
43,61,246,0.05918121770268947,0.5710411702941259,0.5542929292929293
44,61,246,0.05918121770268947,0.5710411702941259,0.5542929292929293
45,61,245,0.05918121770268947,0.5710411702941259,0.5542929292929293
46,61,245,0.05791859144006317,0.5609401601931159,0.553030303030303
47,61,241,0.05791859144006317,0.5609401601931159,0.553030303030303
48,61,239,0.05791859144006317,0.5609401601931159,0.553030303030303
49,61,237,0.05791859144006317,0.5609401601931159,0.553030303030303
50,61,237,0.05791859144006317,0.5609401601931159,0.553030303030303
51,61,237,0.05791859144006317,0.5609401601931159,0.553030303030303
52,61,237,0.05791859144006317,0.5609401601931159,0.553030303030303
53,61,237,0.05791859144006317,0.5609401601931159,0.553030303030303
54,61,237,0.05791859144006317,0.5609401601931159,0.553030303030303
55,61,233,0.05791859144006317,0.5609401601931159,0.553030303030303
56,61,233,0.05791859144006317,0.5609401601931159,0.553030303030303
57,61,232,0.05791859144006317,0.5609401601931159,0.553030303030303
58,61,233,0.05791859144006317,0.5609401601931159,0.553030303030303
59,61,233,0.05791859144006317,0.5609401601931159,0.553030303030303
60,61,233,0.05791859144006317,0.5609401601931159,0.553030303030303
61,61,231,0.05791859144006317,0.5609401601931159,0.553030303030303
62,60,230,0.05791859144006317,0.5609401601931159,0.553030303030303
63,60,231,0.05791859144006317,0.5609401601931159,0.553030303030303
64,60,229,0.05791859144006317,0.5609401601931159,0.553030303030303
65,60,226,0.05413071265218439,0.5306371298900854,0.5492424242424242
66,60,226,0.05413071265218439,0.5306371298900854,0.5492424242424242
67,60,226,0.05413071265218439,0.5306371298900854,0.5492424242424242
68,60,226,0.05413071265218439,0.5306371298900854,0.5492424242424242
69,60,226,0.05413071265218439,0.5306371298900854,0.5492424242424242
70,60,226,0.05413071265218439,0.5306371298900854,0.5492424242424242
71,60,224,0.05413071265218439,0.5306371298900854,0.5492424242424242
72,60,223,0.05413071265218439,0.5306371298900854,0.5492424242424242
73,60,223,0.0516054601269319,0.5104351096880653,0.5467171717171717
74,60,223,0.0516054601269319,0.5104351096880653,0.5467171717171717
75,60,223,0.0516054601269319,0.5104351096880653,0.5467171717171717
76,60,223,0.0516054601269319,0.5104351096880653,0.5467171717171717
77,60,223,0.0516054601269319,0.5104351096880653,0.5467171717171717
78,60,223,0.0516054601269319,0.5104351096880653,0.5467171717171717
79,60,221,0.0516054601269319,0.5104351096880653,0.5467171717171717
80,60,220,0.0516054601269319,0.5104351096880653,0.5467171717171717
81,60,220,0.0516054601269319,0.5104351096880653,0.5467171717171717
82,60,219,0.0503428338643056,0.5205361197890754,0.5454545454545454
83,60,218,0.0503428338643056,0.5205361197890754,0.5454545454545454
84,60,216,0.0503428338643056,0.5205361197890754,0.5454545454545454
85,59,216,0.0503428338643056,0.5205361197890754,0.5454545454545454
86,59,216,0.0503428338643056,0.5205361197890754,0.5454545454545454
87,59,216,0.0503428338643056,0.5205361197890754,0.5454545454545454
88,59,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
89,59,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
90,59,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
91,59,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
92,59,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
93,58,215,0.0503428338643056,0.5205361197890754,0.5454545454545454
94,58,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
95,58,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
96,58,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
97,58,214,0.0503428338643056,0.5205361197890754,0.5454545454545454
98,58,213,0.0503428338643056,0.5205361197890754,0.5454545454545454
99,58,213,0.0503428338643056,0.5205361197890754,0.5454545454545454
100,58,213,0.0503428338643056,0.5205361197890754,0.5454545454545454
101,58,213,0.0503428338643056,0.5205361197890754,0.5454545454545454
102,58,210,0.0503428338643056,0.5205361197890754,0.5454545454545454
103,58,210,0.0503428338643056,0.5205361197890754,0.5454545454545454
104,57,210,0.0516054601269319,0.5104351096880653,0.5467171717171717
105,57,210,0.0516054601269319,0.5104351096880653,0.5467171717171717
106,57,211,0.0516054601269319,0.5104351096880653,0.5467171717171717
107,57,211,0.0516054601269319,0.5104351096880653,0.5467171717171717
108,57,209,0.0516054601269319,0.5104351096880653,0.5467171717171717
109,57,209,0.0516054601269319,0.5104351096880653,0.5467171717171717
110,56,206,0.0516054601269319,0.5104351096880653,0.5467171717171717
111,56,204,0.0516054601269319,0.5104351096880653,0.5467171717171717
112,56,204,0.0516054601269319,0.5104351096880653,0.5467171717171717
113,56,204,0.0516054601269319,0.5104351096880653,0.5467171717171717
114,56,204,0.0516054601269319,0.5104351096880653,0.5467171717171717
115,56,204,0.0516054601269319,0.5104351096880653,0.5467171717171717
116,56,201,0.0516054601269319,0.5104351096880653,0.5467171717171717
117,55,202,0.0516054601269319,0.5104351096880653,0.5467171717171717
118,54,201,0.0503428338643056,0.5003340995870551,0.5454545454545454
119,54,200,0.0503428338643056,0.5003340995870551,0.5454545454545454
120,53,199,0.0503428338643056,0.5003340995870551,0.5454545454545454
121,53,199,0.0503428338643056,0.5003340995870551,0.5454545454545454
122,53,199,0.0503428338643056,0.5003340995870551,0.5454545454545454
123,53,199,0.049080207601679415,0.5104351096880653,0.5441919191919192
124,53,199,0.049080207601679415,0.5104351096880653,0.5441919191919192
125,53,199,0.049080207601679415,0.5104351096880653,0.5441919191919192
126,53,198,0.049080207601679415,0.5104351096880653,0.5441919191919192
127,53,198,0.049080207601679415,0.5104351096880653,0.5441919191919192
128,53,195,0.049080207601679415,0.5104351096880653,0.5441919191919192
129,53,195,0.049080207601679415,0.5104351096880653,0.5441919191919192
130,53,195,0.049080207601679415,0.5104351096880653,0.5441919191919192
131,53,195,0.049080207601679415,0.5104351096880653,0.5441919191919192
132,53,194,0.049080207601679415,0.5104351096880653,0.5441919191919192
133,53,192,0.049080207601679415,0.5104351096880653,0.5441919191919192
134,52,190,0.049080207601679415,0.5104351096880653,0.5441919191919192
135,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
136,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
137,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
138,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
139,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
140,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
141,52,188,0.049080207601679415,0.5104351096880653,0.5441919191919192
142,52,184,0.049080207601679415,0.5104351096880653,0.5441919191919192
143,52,184,0.049080207601679415,0.5104351096880653,0.5441919191919192
144,52,184,0.049080207601679415,0.5104351096880653,0.5441919191919192
145,52,184,0.049080207601679415,0.5104351096880653,0.5441919191919192
146,52,183,0.049080207601679415,0.5104351096880653,0.5441919191919192
147,52,183,0.049080207601679415,0.5104351096880653,0.5441919191919192
148,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
149,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
150,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
151,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
152,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
153,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
154,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
155,52,181,0.049080207601679415,0.5104351096880653,0.5441919191919192
156,52,179,0.049080207601679415,0.5104351096880653,0.5441919191919192
157,52,180,0.049080207601679415,0.5104351096880653,0.5441919191919192
158,52,180,0.049080207601679415,0.5104351096880653,0.5441919191919192
159,52,180,0.049080207601679415,0.5104351096880653,0.5441919191919192
160,52,180,0.04781758133905312,0.5205361197890753,0.5429292929292929
161,52,181,0.04781758133905312,0.5205361197890753,0.5429292929292929
162,51,179,0.04781758133905312,0.5205361197890753,0.5429292929292929
163,51,177,0.04781758133905312,0.5205361197890753,0.5429292929292929
164,51,177,0.04781758133905312,0.5205361197890753,0.5429292929292929
165,51,174,0.04781758133905312,0.5205361197890753,0.5429292929292929
166,51,174,0.04781758133905312,0.5205361197890753,0.5429292929292929
167,51,173,0.04781758133905312,0.5205361197890753,0.5429292929292929
168,51,173,0.04781758133905312,0.5205361197890753,0.5429292929292929
169,51,173,0.04781758133905312,0.5205361197890753,0.5429292929292929
170,51,173,0.04781758133905312,0.5205361197890753,0.5429292929292929
171,51,172,0.04781758133905312,0.5205361197890753,0.5429292929292929
172,51,172,0.04781758133905312,0.5205361197890753,0.5429292929292929
173,51,171,0.04781758133905312,0.5205361197890753,0.5429292929292929
174,51,171,0.04781758133905312,0.5205361197890753,0.5429292929292929
175,51,169,0.04655495507642682,0.5104351096880653,0.5416666666666666
176,51,169,0.04655495507642682,0.5104351096880653,0.5416666666666666
177,51,169,0.04655495507642682,0.5104351096880653,0.5416666666666666
178,51,166,0.04655495507642682,0.5104351096880653,0.5416666666666666
179,51,166,0.04655495507642682,0.5104351096880653,0.5416666666666666
180,51,166,0.04655495507642682,0.5104351096880653,0.5416666666666666
181,51,166,0.04781758133905312,0.5003340995870551,0.5429292929292929
182,51,166,0.04781758133905312,0.5003340995870551,0.5429292929292929
183,51,165,0.04781758133905312,0.5003340995870551,0.5429292929292929
184,51,164,0.04781758133905312,0.5003340995870551,0.5429292929292929
185,51,163,0.04781758133905312,0.5003340995870551,0.5429292929292929
186,51,163,0.04781758133905312,0.5003340995870551,0.5429292929292929
187,51,161,0.04781758133905312,0.5003340995870551,0.5429292929292929
188,51,160,0.04781758133905312,0.5003340995870551,0.5429292929292929
189,51,160,0.04781758133905312,0.5003340995870551,0.5429292929292929
190,51,160,0.04781758133905312,0.5003340995870551,0.5429292929292929
191,51,160,0.04781758133905312,0.5003340995870551,0.5429292929292929
192,51,160,0.049080207601679415,0.5104351096880653,0.5441919191919192
193,51,159,0.049080207601679415,0.5104351096880653,0.5441919191919192
194,51,158,0.049080207601679415,0.5104351096880653,0.5441919191919192
195,51,158,0.049080207601679415,0.5104351096880653,0.5441919191919192
196,51,158,0.049080207601679415,0.5104351096880653,0.5441919191919192
197,51,157,0.04781758133905312,0.5205361197890753,0.5429292929292929
198,51,158,0.04781758133905312,0.5205361197890753,0.5429292929292929
199,51,157,0.04781758133905312,0.5205361197890753,0.5429292929292929
200,51,157,0.04781758133905312,0.5205361197890753,0.5429292929292929
201,51,157,0.04781758133905312,0.5205361197890753,0.5429292929292929
202,51,154,0.04781758133905312,0.5205361197890753,0.5429292929292929
203,49,147,0.04781758133905312,0.5205361197890753,0.5429292929292929
204,49,147,0.04781758133905312,0.5205361197890753,0.5429292929292929
205,49,147,0.04781758133905312,0.5205361197890753,0.5429292929292929
206,49,147,0.04781758133905312,0.5205361197890753,0.5429292929292929
207,49,147,0.04781758133905312,0.5205361197890753,0.5429292929292929
208,49,148,0.04781758133905312,0.5205361197890753,0.5429292929292929
209,49,148,0.04781758133905312,0.5205361197890753,0.5429292929292929
210,49,148,0.04781758133905312,0.5205361197890753,0.5429292929292929
211,49,148,0.04781758133905312,0.5205361197890753,0.5429292929292929
212,49,148,0.04781758133905312,0.5205361197890753,0.5429292929292929
213,49,146,0.04781758133905312,0.5205361197890753,0.5429292929292929
214,49,146,0.04781758133905312,0.5205361197890753,0.5429292929292929
215,49,146,0.04781758133905312,0.5205361197890753,0.5429292929292929
216,49,145,0.04781758133905312,0.5205361197890753,0.5429292929292929
217,49,144,0.04781758133905312,0.5205361197890753,0.5429292929292929
218,49,144,0.04781758133905312,0.5205361197890753,0.5429292929292929
219,49,144,0.04781758133905312,0.5205361197890753,0.5429292929292929
220,49,144,0.04781758133905312,0.5205361197890753,0.5429292929292929
221,49,143,0.04781758133905312,0.5205361197890753,0.5429292929292929
222,49,143,0.04781758133905312,0.5205361197890753,0.5429292929292929
223,49,143,0.04781758133905312,0.5205361197890753,0.5429292929292929
224,49,143,0.04781758133905312,0.5205361197890753,0.5429292929292929
225,49,142,0.04781758133905312,0.5205361197890753,0.5429292929292929
226,49,142,0.04781758133905312,0.5205361197890753,0.5429292929292929
227,49,142,0.04655495507642682,0.5306371298900854,0.5416666666666666
228,49,142,0.04655495507642682,0.5306371298900854,0.5416666666666666
229,49,142,0.04655495507642682,0.5306371298900854,0.5416666666666666
230,49,142,0.04655495507642682,0.5306371298900854,0.5416666666666666
231,49,142,0.04655495507642682,0.5306371298900854,0.5416666666666666
232,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
233,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
234,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
235,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
236,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
237,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
238,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
239,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
240,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
241,49,141,0.04655495507642682,0.5306371298900854,0.5416666666666666
242,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
243,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
244,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
245,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
246,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
247,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
248,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
249,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
250,49,140,0.049080207601679415,0.5104351096880653,0.5441919191919192
251,49,140,0.0503428338643056,0.5003340995870551,0.5454545454545454
252,49,140,0.0503428338643056,0.5003340995870551,0.5454545454545454
253,50,141,0.0503428338643056,0.5003340995870551,0.5454545454545454
254,50,141,0.0503428338643056,0.5003340995870551,0.5454545454545454
255,50,141,0.0503428338643056,0.5003340995870551,0.5454545454545454
256,50,142,0.0503428338643056,0.5003340995870551,0.5454545454545454
257,50,142,0.0503428338643056,0.5003340995870551,0.5454545454545454
258,50,140,0.049080207601679415,0.49023308948604505,0.5441919191919192
259,50,140,0.049080207601679415,0.49023308948604505,0.5441919191919192
260,50,140,0.049080207601679415,0.49023308948604505,0.5441919191919192
261,50,140,0.049080207601679415,0.49023308948604505,0.5441919191919192
262,50,140,0.049080207601679415,0.49023308948604505,0.5441919191919192
263,50,140,0.049080207601679415,0.49023308948604505,0.5441919191919192
264,50,139,0.049080207601679415,0.49023308948604505,0.5441919191919192
265,50,139,0.049080207601679415,0.49023308948604505,0.5441919191919192
266,50,139,0.049080207601679415,0.49023308948604505,0.5441919191919192
267,50,138,0.049080207601679415,0.49023308948604505,0.5441919191919192
268,50,138,0.049080207601679415,0.49023308948604505,0.5441919191919192
269,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
270,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
271,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
272,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
273,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
274,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
275,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
276,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
277,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
278,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
279,50,137,0.049080207601679415,0.49023308948604505,0.5441919191919192
280,49,137,0.0503428338643056,0.480132079385035,0.5454545454545454
281,49,137,0.0503428338643056,0.480132079385035,0.5454545454545454
282,49,137,0.0503428338643056,0.480132079385035,0.5454545454545454
283,49,137,0.0503428338643056,0.480132079385035,0.5454545454545454
284,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
285,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
286,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
287,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
288,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
289,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
290,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
291,49,135,0.0503428338643056,0.480132079385035,0.5454545454545454
292,49,135,0.0503428338643056,0.480132079385035,0.5454545454545454
293,49,135,0.0503428338643056,0.480132079385035,0.5454545454545454
294,49,135,0.0503428338643056,0.480132079385035,0.5454545454545454
295,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
296,49,136,0.0503428338643056,0.480132079385035,0.5454545454545454
297,49,134,0.0503428338643056,0.480132079385035,0.5454545454545454
298,49,134,0.0503428338643056,0.480132079385035,0.5454545454545454
299,49,134,0.0503428338643056,0.480132079385035,0.5454545454545454
300,49,134,0.0503428338643056,0.480132079385035,0.5454545454545454
301,49,134,0.0503428338643056,0.480132079385035,0.5454545454545454
302,49,133,0.0503428338643056,0.480132079385035,0.5454545454545454
303,49,133,0.0503428338643056,0.480132079385035,0.5454545454545454
304,49,133,0.0503428338643056,0.480132079385035,0.5454545454545454
305,49,133,0.0503428338643056,0.480132079385035,0.5454545454545454
306,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
307,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
308,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
309,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
310,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
311,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
312,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
313,49,132,0.0503428338643056,0.480132079385035,0.5454545454545454
314,49,131,0.0503428338643056,0.480132079385035,0.5454545454545454
315,49,131,0.0503428338643056,0.480132079385035,0.5454545454545454
316,49,131,0.0503428338643056,0.480132079385035,0.5454545454545454
317,49,130,0.0503428338643056,0.480132079385035,0.5454545454545454
318,49,130,0.0503428338643056,0.480132079385035,0.5454545454545454
319,49,130,0.0503428338643056,0.480132079385035,0.5454545454545454
320,49,130,0.0503428338643056,0.480132079385035,0.5454545454545454
321,49,130,0.0503428338643056,0.480132079385035,0.5454545454545454
322,49,130,0.0503428338643056,0.480132079385035,0.5454545454545454
323,49,130,0.049080207601679415,0.47003106928402494,0.5441919191919192
324,49,129,0.049080207601679415,0.47003106928402494,0.5441919191919192
325,49,129,0.049080207601679415,0.47003106928402494,0.5441919191919192
326,49,126,0.049080207601679415,0.47003106928402494,0.5441919191919192
327,49,126,0.049080207601679415,0.47003106928402494,0.5441919191919192
328,49,126,0.0503428338643056,0.480132079385035,0.5454545454545454
329,49,123,0.0503428338643056,0.480132079385035,0.5454545454545454
330,49,122,0.049080207601679415,0.47003106928402494,0.5441919191919192
331,49,122,0.049080207601679415,0.47003106928402494,0.5441919191919192
332,49,122,0.049080207601679415,0.47003106928402494,0.5441919191919192
333,49,122,0.049080207601679415,0.47003106928402494,0.5441919191919192
